"","speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3","W","w1","w2","w3","weight","weigth_comb"
"1","JBS","밭","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅏ","ㅌ"," "," ",""," "," ","","","","","lax","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"2","JBS","숨","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅜ","ㅁ"," "," ",""," "," ","","","","","que","sg","son","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"3","JBS","귀","","","고유어1","1","","","부산",60,"여",1,"ㄱ","ㅟ",""," "," ",""," "," ","","","","","lax","dp","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"4","JBS","밀","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅁ","ㅣ","ㄹ"," "," ",""," "," ","","","","","son","","son","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"5","JBS","꿩","","","고유어1","1","","H","부산",60,"여",1,"ㄲ","ㅝ","ㅇ"," "," ",""," "," ","","","","","tsasp","dp","son","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"6","JBS","짚","","","고유어1","1","","","부산",60,"여",1,"ㅈ","ㅣ","ㅍ"," "," ",""," "," ","","","","","lax","","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"7","JBS","뼈","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅃ","ㅕ",""," "," ",""," "," ","","","","","tsasp","dp","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"8","JBS","떼","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅔ",""," "," ",""," "," ","","","","","tsasp","sg","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"9","JBS","깨","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄲ","ㅐ",""," "," ",""," "," ","","","","","tsasp","sg","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"10","JBS","숯","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅜ","ㅊ"," "," ",""," "," ","","","","","que","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"11","JBS","끈","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄲ","ㅡ","ㄴ"," "," ",""," "," ","","","","","tsasp","sg","son","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"12","JBS","겉","","","고유어1","1","","H","부산",60,"여",1,"ㄱ","ㅓ","ㅌ"," "," ",""," "," ","","","","","lax","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"13","JBS","속","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄱ"," "," ",""," "," ","","","","","que","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"14","JBS","솔","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㄹ"," "," ",""," "," ","","","","","que","sg","son","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"15","JBS","앞","","","고유어1","1","","H","부산",60,"여",1,"ㅇ","ㅏ","ㅍ"," "," ",""," "," ","","","","","null","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"16","JBS","팥","","","고유어1","1","","","부산",60,"여",1,"ㅍ","ㅏ","ㅌ"," "," ",""," "," ","","","","","tsasp","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"17","JBS","때","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅐ",""," "," ",""," "," ","","","","","tsasp","sg","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"18","JBS","파","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅍ","ㅏ",""," "," ",""," "," ","","","","","tsasp","sg","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
"19","JBS","솥","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅗ","ㅌ"," "," ",""," "," ","","","","","que","sg","obs","","","","","","","","","","111",1,1,1,8,"heavy-heavy-heavy"
"20","JBS","혀","","","고유어1","1","","","부산",60,"여",1,"ㅎ","ㅕ",""," "," ",""," "," ","","","","","que","dp","","","","","","","","","","","011",0,1,1,4,"light-heavy-heavy"
